neighborhood,zip,building_class,address,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,04,16,B1604,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1604""",MIDDLE,1,1,1960,"750,000.00",12/11/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,02,14,B1402,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1402""",MIDDLE,studio,1,1960,"455,000.00",12/15/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G,06,17,G1706,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G1706""",LEFT,2,1,1960,"1,195,000.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,04,13,L1304,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1304""",MIDDLE,1,1,1960,"740,000.00",12/18/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,05,1,L105,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L105""",MIDDLE,1,1,1960,"669,000.00",1/11/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H,08,2,H208,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H208""",MIDDLE,1,1,1960,"728,000.00",1/15/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D,02,12,D1202,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1202""",RIGHT,1,1,1960,"720,000.00",1/19/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,07,10,C1007,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C1007""",RIGHT,2,1,1960,"1,175,000.00",11/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,C,06,5,C506,"https://www.google.com/search?q=site%3Astreeteasy.com+""264+EAST+BROADWAY""+""C506""",RIGHT,2,1,1960,"1,100,000.00",12/15/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,02,9,B902,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B902""",MIDDLE,studio,1,1960,"449,000.00",2/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,01,9,F901,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F901""",LEFT,3,1.5,1960,"1,285,000.00",2/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,04,20,L2004,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L2004""",MIDDLE,1,1,1960,"660,000.00",2/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E,05,15,E1505,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E1505""",MIDDLE,1,1,1960,"660,000.00",2/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,J,02,18,J1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""208+EAST+BROADWAY""+""J1802""",RIGHT,1,1,1960,"810,000.00",2/23/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,02,17,F1702,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1702""",LEFT,1,1,1960,"459,000.00",2/25/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,06,1,L106,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L106""",MIDDLE,3,1.5,1960,"1,277,500.00",3/10/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G,06,14,G1406,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G1406""",LEFT,2,1,1960,"1,156,000.00",11/14/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L,02,16,L1602,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1602""",MIDDLE,studio,1,1960,"459,000.00",3/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F,04,12,F1204,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1204""",LEFT,2,1,1960,"1,155,000.00",9/22/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B,02,15,B1502,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1502""",MIDDLE,studio,1,1960,"463,000.00",3/25/2021
