neighborhood,zip,building_class,address,unit,url,floor,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M101,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M101""",1,LEFT,3,1.5,1960,"1,262,500.00",9/10/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G304,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G304""",3,LEFT,2,1,1960,"1,075,000.00",11/2/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,M2002,"https://www.google.com/search?q=site%3Astreeteasy.com+""383+GRAND+STREET""+""M2002""",20,LEFT,1,1,1960,"875,000.00",9/14/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F1704,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1704""",17,LEFT,2,1,1960,"1,065,000.00",11/12/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D601,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D601""",6,RIGHT,1,1,1960,"659,000.00",9/20/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,212 EAST BROADWAY,G105,"https://www.google.com/search?q=site%3Astreeteasy.com+""212+EAST+BROADWAY""+""G105""",1,LEFT,2,1,1960,"1,055,000.00",1/17/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D501,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D501""",5,RIGHT,4,2,1960,"1,775,000.00",9/24/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F207,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F207""",2,LEFT,2,1,1960,"1,050,000.00",1/9/2023
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,413 GRAND STREET,F1206,"https://www.google.com/search?q=site%3Astreeteasy.com+""413+GRAND+STREET""+""F1206""",12,LEFT,2,1,1960,"1,050,000.00",11/2/2020
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L1506,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1506""",15,MIDDLE,3,1.5,1960,"1,395,000.00",10/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,H1603,"https://www.google.com/search?q=site%3Astreeteasy.com+""210+EAST+BROADWAY""+""H1603""",16,MIDDLE,1,1,1960,"738,000.00",10/20/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E702,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E702""",7,MIDDLE,studio,1,1960,"435,000.00",10/27/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E103,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E103""",1,MIDDLE,1,1,1960,"645,000.00",10/28/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,E1104,"https://www.google.com/search?q=site%3Astreeteasy.com+""415+GRAND+STREET""+""E1104""",11,MIDDLE,4,3,1960,"2,400,000.00",10/29/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,K1802,"https://www.google.com/search?q=site%3Astreeteasy.com+""387+GRAND+STREET""+""K1802""",18,RIGHT,1,1,1960,"850,000.00",11/1/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B708,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B708""",7,MIDDLE,1,1,1960,"815,000.00",11/2/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,A1007,"https://www.google.com/search?q=site%3Astreeteasy.com+""268+EAST+BROADWAY""+""A1007""",10,LEFT,2,1,1960,"1,050,000.00",5/11/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L404,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L404""",4,MIDDLE,1,1,1960,"675,000.00",11/18/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,385 GRAND STREET,L1106,"https://www.google.com/search?q=site%3Astreeteasy.com+""385+GRAND+STREET""+""L1106""",11,MIDDLE,3,2,1960,"1,630,000.00",11/19/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,B1507,"https://www.google.com/search?q=site%3Astreeteasy.com+""266+EAST+BROADWAY""+""B1507""",15,MIDDLE,1,1,1960,"805,000.00",12/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,D1402,"https://www.google.com/search?q=site%3Astreeteasy.com+""417+GRAND+STREET""+""D1402""",14,RIGHT,1,1,1960,"749,000.00",12/13/2021
