neighborhood,zip,building_class,address,building,line,number,floor,unit,url,tower,br,ba,year_built,sale_price,sale_date
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,06,6,A606,https://streeteasy.com/building/264-268-east-broadway-building-1/a606,LEFT,2,1,1960,"999,000.00",10/12/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,02,5,E502,https://streeteasy.com/building/413-417-grand-st-building-2/e502,MIDDLE,studio,1,1960,"420,000.00",5/20/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,01,3,K301,https://streeteasy.com/building/383-387-grand-st-building-4/k301,RIGHT,1,1,1960,"677,000.00",5/23/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,07,8,D807,https://streeteasy.com/building/413-417-grand-st-building-2/d807,RIGHT,2,1,1960,"990,000.00",9/8/2021
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,02,1,D102,https://streeteasy.com/building/413-417-grand-st-building-2/d102,RIGHT,1,1,1960,"640,000.00",5/25/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,D,01,1,D101,https://streeteasy.com/building/413-417-grand-st-building-2/d101,RIGHT,1,1,1960,"640,000.00",5/27/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,383 GRAND STREET,4,M,03,16,M1603,https://streeteasy.com/building/383-387-grand-st-building-4/m1603,LEFT,1,1,1960,"895,000.00",5/31/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,05,7,B705,https://streeteasy.com/building/264-268-east-broadway-building-1/b705,MIDDLE,1,1,1960,"827,000.00",6/15/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,417 GRAND STREET,2,1,01,15,1501,https://streeteasy.com/building/413-417-grand-st-building-2/1501,RIGHT,1,1,1960,"695,000.00",7/8/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,387 GRAND STREET,4,K,02,13,K1302,https://streeteasy.com/building/383-387-grand-st-building-4/k1302,RIGHT,1,1,1960,"830,000.00",7/27/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,268 EAST BROADWAY,1,A,06,20,A2006,https://streeteasy.com/building/264-268-east-broadway-building-1/a2006,LEFT,1,1,1960,"990,000.00",2/28/2024
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,208 EAST BROADWAY,3,J,04,18,J1804,https://streeteasy.com/building/208-212-east-broadway-building-3/j1804,RIGHT,2,1,1960,"985,000.00",5/23/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,02,16,E1602,https://streeteasy.com/building/413-417-grand-st-building-2/e1602,MIDDLE,studio,1,1960,"498,000.00",8/3/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,04,14,B1404,https://streeteasy.com/building/264-268-east-broadway-building-1/b1404,MIDDLE,1,1,1960,"750,000.00",8/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,266 EAST BROADWAY,1,B,06,9,B906,https://streeteasy.com/building/264-268-east-broadway-building-1/b906,MIDDLE,3,1.5,1960,"711,500.00",9/21/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,415 GRAND STREET,2,E,04,2,E204,https://streeteasy.com/building/413-417-grand-st-building-2/e204,MIDDLE,1,1,1960,"610,000.00",11/3/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,210 EAST BROADWAY,3,H,02,17,H1702,https://streeteasy.com/building/208-212-east-broadway-building-3/h1702,MIDDLE,studio,1,1960,"480,000.00",11/4/2022
LOWER EAST SIDE,10002,10 COOPS - ELEVATOR APARTMENTS,264 EAST BROADWAY,1,C,01,11,C1101,https://streeteasy.com/building/264-268-east-broadway-building-1/c1101,RIGHT,1,1,1960,"710,000.00",11/14/2022
